,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
AJ네트웍스,서비스업,2016,2081316853000.0,386.87,20.54,18.79,-0.7622758560161977,6.46,B이하,C,B이하,B이하,0.0
BNK금융지주,기타금융,2016,93482189322000.0,1219.04,7.58,-5.05,-8.62904699272613,0.63,A,A+,B+,B이하,74962000.0
CS홀딩스,서비스업,2016,293927435000.0,12.23,89.1,-11.39,9.280109558412521,0.63,B이하,C,B이하,B이하,574000.0
JB금융지주,기타금융,2016,45798925000000.0,1445.27,6.47,5.12,-10.862464694997241,0.6000000000000001,B이하,A+,B이하,B이하,7772000.0
KISCO홀딩스,서비스업,2016,1493955210000.0,17.27,85.27,-2.7,7.96873088918151,0.43,B이하,B,B이하,B이하,2753000.0
LG이노텍,전기전자,2016,4323719058000.0,143.11,41.13,-6.25,0.062346433265097735,1.475,A,A,A+,A,5916000.0
MH에탄올,음식료품,2016,72339673000.0,13.77,87.89,-2.96,0.25044135632042863,0.93,B이하,B,B이하,B이하,2163000.0
OCI,화학,2016,6248555403000.0,91.4,52.25,19.02,0.1815488295385361,0.6950000000000001,B+,B+,A,B+,9540000.0
SH에너지화학,화학,2016,124488724000.0,19.6,83.61,0.9,0.054509548465341916,1.92,B이하,B,B이하,B이하,6100000.0
SIMPAC,기계,2016,417865468000.0,73.81,57.53,-0.91,0.16329607716863032,0.665,B이하,C,B이하,B이하,2651000.0
SK이노베이션,서비스업,2016,32581330983000.0,77.99,56.18,-18.27,3.065523041722409,1.3250000000000002,A,A+,B+,A,596495000.0
STX,유통업,2016,707709000000.0,0.0,-46.71,5.48,0.039461339377890106,0.0,B이하,C,B+,B이하,0.0
STX엔진,기계,2016,830228814000.0,674.01,12.92,0.0,0.060424296871166336,1.81,B+,B,B+,B+,0.0
STX중공업,기계,2016,849906703000.0,0.0,-71.94,-60.6,-0.016832561524212756,0.0,B이하,D,B+,B+,0.0
가온전선,전기전자,2016,519225689000.0,96.25,50.96,-4.03,0.054417910641501595,0.34,B이하,B,B이하,B+,2356000.0
강남제비스코,화학,2016,560934377000.0,20.83,82.76,-1.22,0.09724113289263733,0.77,B이하,B,B이하,B이하,3250000.0
강원랜드,서비스업,2016,3978987574000.0,22.33,81.75,3.84,0.3519979056695632,2.8049999999999997,A,B+,A,A,200712000.0
갤럭시아에스엠,서비스업,2016,58444606000.0,30.32,76.73,-15.76,-0.026180177812814787,1.685,B이하,C,B이하,B이하,0.0
경농,화학,2016,320915151000.0,74.44,57.33,3.85,0.1116973256057538,0.825,B이하,B,B+,B이하,4734000.0
경동나비엔,전기전자,2016,429754702000.0,79.99,55.56,13.91,0.12119221786192752,2.905,B이하,C,B이하,B이하,1894000.0
경방,섬유의복,2016,1301910960000.0,91.5,52.22,5.54,0.21658509224951175,0.47,B이하,C,B이하,B이하,4935000.0
경인양행,화학,2016,344298515000.0,65.3,60.5,4.45,0.10606292812995069,1.105,B이하,B,B이하,B이하,1977000.0
경인전자,전기전자,2016,64297759000.0,7.62,92.92,-6.22,0.08772936382754995,0.7,B이하,B,B이하,B이하,343000.0
계양전기,기계,2016,243982899000.0,36.2,73.42,15.77,0.05904098567313571,1.19,B이하,B,B이하,B이하,2217000.0
고려산업,음식료품,2016,167843756000.0,97.42,50.65,-7.09,0.09547928492756079,1.5899999999999999,B이하,B,B이하,B이하,724000.0
고려아연,철강금속,2016,6482637892000.0,14.48,87.35,22.55,0.1349306370744614,1.77,B이하,B+,B이하,B이하,150231000.0
고려제강,철강금속,2016,2453092338000.0,65.49,60.43,-3.78,0.25905824368176045,0.69,B이하,D,B이하,B+,6299000.0
광동제약,의약품,2016,679780115000.0,70.08,58.8,10.57,0.045259290166237635,1.49,B이하,B,B이하,B이하,3246000.0
광명전기,전기전자,2016,146859319000.0,49.76,66.77,-16.66,0.046452445554053916,1.575,B이하,C,B이하,B이하,0.0
광전자,전기전자,2016,242283949000.0,19.17,83.91,-17.12,0.07399950924063967,0.745,B이하,B+,B이하,B이하,0.0
광주신세계,유통업,2016,655502726000.0,22.69,81.51,2.48,0.2381983899174999,0.78,B이하,B,B이하,B이하,2000000.0
교보증권,증권,2016,5118539223000.0,586.5,14.57,7.74,0.5159078598101409,0.46,B+,A+,B+,B이하,5896000.0
국도화학,화학,2016,682784695000.0,53.14,65.3,-5.85,0.08979502525107787,0.895,B이하,C,B이하,B+,6973000.0
국동,유통업,2016,124126720000.0,139.97,41.67,15.9,0.0058746582230742635,1.84,B이하,B,B이하,B이하,0.0
국보,운수창고업,2016,81308887000.0,432.28,18.79,-4.68,0.006522925399233677,2.7800000000000002,B이하,C,B이하,B이하,0.0
국제약품,의약품,2016,129455413000.0,91.73,52.16,2.59,0.1399974693891749,1.41,B이하,B+,B이하,B이하,947000.0
극동유화,화학,2016,191718877000.0,37.06,72.96,-8.49,0.12609504435033786,0.5800000000000001,B이하,B,B이하,B이하,4010000.0
금강공업,철강금속,2016,710805610000.0,133.21,42.88,6.57,0.11223325646234406,0.9950000000000001,B이하,C,B이하,B이하,2242000.0
금양,화학,2016,178901902000.0,418.85,19.27,6.09,0.049890100744090136,5.91,B이하,B,B이하,B이하,0.0
금호전기,전기전자,2016,460497632000.0,187.56,34.78,4.78,0.29476199663599484,0.5,B이하,B,B이하,B이하,0.0
금호타이어,화학,2016,5121661355000.0,321.85,23.7,-3.06,0.08001612364648546,1.005,B+,C,A+,B+,0.0
까뮤이앤씨,건설업,2016,142978398000.0,179.73,35.75,5.54,-0.06970947261430985,1.055,B이하,B+,B이하,B이하,381000.0
깨끗한나라,종이목재,2016,522464181000.0,148.05,40.31,4.04,0.07145676998135825,1.03,B이하,B,B이하,B+,0.0
